n,FLOP/s
10,inf
20,inf
30,inf
40,1.19e+09
50,1.49e+09
60,1.79e+09
70,2.09e+09
80,2.39e+09
90,2.69e+09
100,2.99e+09
110,3.29e+09
120,3.59e+09
130,3.89e+09
140,4.19e+09
150,2.245e+09
160,2.395e+09
170,2.545e+09
180,2.695e+09
190,2.845e+09
200,2.995e+09
210,3.145e+09
220,3.295e+09
230,3.445e+09
240,3.595e+09
250,2.49667e+09
260,2.59667e+09
270,2.69667e+09
280,2.79667e+09
290,2.89667e+09
300,2.99667e+09
310,3.09667e+09
320,3.19667e+09
330,3.29667e+09
340,3.39667e+09
350,2.99714e+09
360,2.6975e+09
370,2.7725e+09
380,2.8475e+09
390,2.9225e+09
400,2.9975e+09
410,3.0725e+09
420,3.1475e+09
430,3.2225e+09
440,3.2975e+09
450,3.3725e+09
460,3.06444e+09
470,2.818e+09
480,2.878e+09
490,2.938e+09
500,2.998e+09
510,3.058e+09
520,3.118e+09
530,3.178e+09
540,3.238e+09
550,3.298e+09
560,3.358e+09
570,2.84833e+09
580,2.89833e+09
590,2.94833e+09
600,2.99833e+09
610,3.04833e+09
620,3.09833e+09
630,3.14833e+09
640,3.19833e+09
650,3.24833e+09
660,3.29833e+09
670,2.87e+09
680,2.91286e+09
690,2.95571e+09
700,2.99857e+09
710,3.04143e+09
720,3.08429e+09
730,3.12714e+09
740,3.17e+09
750,3.21286e+09
760,3.25571e+09
770,2.88625e+09
780,2.92375e+09
790,2.96125e+09
800,2.99875e+09
810,3.03625e+09
820,3.07375e+09
830,3.11125e+09
840,3.14875e+09
850,3.18625e+09
860,3.22375e+09
870,3.26125e+09
880,2.93222e+09
890,2.96556e+09
900,2.99889e+09
910,3.03222e+09
920,3.06556e+09
930,3.09889e+09
940,3.13222e+09
950,3.16556e+09
960,3.19889e+09
970,3.23222e+09
980,2.939e+09
990,2.969e+09
1000,2.999e+09
1010,3.029e+09
1020,3.059e+09
1030,3.089e+09
1040,3.119e+09
1050,3.149e+09
1060,3.179e+09
1070,3.209e+09
1080,2.94455e+09
1090,2.97182e+09
1100,2.99909e+09
1110,3.02636e+09
1120,3.05364e+09
1130,3.08091e+09
1140,3.10818e+09
1150,3.13545e+09
1160,3.16273e+09
1170,3.19e+09
1180,3.21727e+09
1190,2.97417e+09
1200,2.99917e+09
1210,3.02417e+09
1220,3.04917e+09
1230,3.07417e+09
1240,3.09917e+09
1250,3.12417e+09
1260,3.14917e+09
1270,3.17417e+09
1280,3.19917e+09
1290,2.97615e+09
1300,2.99923e+09
1310,3.02231e+09
1320,3.04538e+09
1330,3.06846e+09
1340,3.09154e+09
1350,3.11462e+09
1360,3.13769e+09
1370,3.16077e+09
1380,3.18385e+09
1390,3.20692e+09
1400,2.99929e+09
1410,3.02071e+09
1420,3.04214e+09
1430,3.06357e+09
1440,3.085e+09
1450,3.10643e+09
1460,3.12786e+09
1470,3.14929e+09
1480,3.17071e+09
1490,3.19214e+09
1500,2.99933e+09
1510,3.01933e+09
1520,3.03933e+09
1530,3.05933e+09
1540,3.07933e+09
1550,3.09933e+09
1560,3.11933e+09
1570,3.13933e+09
1580,3.15933e+09
1590,3.17933e+09
1600,3.19933e+09
1610,3.21933e+09
1620,3.03688e+09
1630,3.05562e+09
1640,3.07438e+09
1650,3.09312e+09
1660,3.11188e+09
1670,3.13062e+09
1680,3.14938e+09
1690,3.16812e+09
1700,3.18688e+09
1710,3.01706e+09
1720,3.03471e+09
1730,3.05235e+09
1740,3.26188e+09
1750,3.28062e+09
1760,3.10529e+09
1770,3.12294e+09
1780,3.14059e+09
1790,3.15824e+09
1800,3.17588e+09
1810,3.19353e+09
1820,3.03278e+09
1830,3.22882e+09
1840,3.24647e+09
1850,3.26412e+09
1860,3.28176e+09
1870,3.11611e+09
1880,3.13278e+09
1890,3.14944e+09
1900,3.16611e+09
1910,3.18278e+09
1920,3.19944e+09
1930,3.21611e+09
1940,3.23278e+09
1950,3.24944e+09
1960,3.26611e+09
1970,3.19405e+09
1980,3.12579e+09
1990,3.14158e+09
2000,3.15737e+09
2010,3.17316e+09
2020,3.18895e+09
2030,3.20474e+09
2040,3.22053e+09
2050,3.23632e+09
2060,3.25211e+09
2070,3.26789e+09
2080,3.1195e+09
2090,3.1345e+09
2100,3.1495e+09
2110,3.1645e+09
2120,3.1795e+09
2130,3.1945e+09
2140,3.2095e+09
2150,3.2245e+09
2160,3.08524e+09
2170,3.09952e+09
2180,3.11381e+09
2190,3.1281e+09
2200,3.14238e+09
2210,3.15667e+09
2220,3.17095e+09
2230,3.18524e+09
2240,3.05409e+09
2250,3.06773e+09
2260,3.08136e+09
2270,3.095e+09
2280,3.10864e+09
2290,3.12227e+09
2300,3.13591e+09
2310,3.14955e+09
2320,3.16318e+09
2330,3.17682e+09
2340,3.11956e+09
2350,3.06478e+09
2360,3.07783e+09
2370,3.09087e+09
2380,3.10391e+09
2390,3.11696e+09
2400,3.13e+09
2410,3.14304e+09
2420,3.15609e+09
2430,3.16913e+09
2440,3.18217e+09
2450,3.06208e+09
2460,3.07458e+09
2470,3.2213e+09
2480,3.23435e+09
2490,3.24739e+09
2500,3.12458e+09
2510,3.13708e+09
2520,3.14958e+09
2530,3.16208e+09
2540,3.17458e+09
2550,3.18708e+09
2560,3.19958e+09
2570,3.21208e+09
2580,3.22458e+09
2590,3.23708e+09
2600,3.24958e+09
2610,3.26208e+09
2620,3.1436e+09
2630,3.1556e+09
2640,3.1676e+09
2650,3.1796e+09
2660,3.1916e+09
2670,3.2036e+09
2680,3.2156e+09
2690,3.2276e+09
2700,3.2396e+09
2710,3.12654e+09
2720,3.13808e+09
2730,3.14962e+09
2740,3.16115e+09
2750,3.17269e+09
2760,3.18423e+09
2770,3.19577e+09
2780,3.20731e+09
2790,3.21885e+09
2800,3.23038e+09
2810,3.24192e+09
2820,3.25346e+09
2830,3.14407e+09
2840,3.15519e+09
2850,3.1663e+09
2860,3.17741e+09
2870,3.18852e+09
2880,3.19963e+09
2890,3.21074e+09
2900,3.22185e+09
2910,3.23296e+09
2920,3.24407e+09
2930,3.25519e+09
2940,3.14964e+09
2950,3.05138e+09
2960,3.17107e+09
2970,3.18179e+09
2980,3.1925e+09
2990,3.20321e+09
3000,3.21393e+09
3010,3.22464e+09
3020,3.23536e+09
3030,3.24607e+09
3040,3.19965e+09
3050,3.15483e+09
3060,3.16517e+09
3070,3.17552e+09
3080,3.18586e+09
3090,3.19621e+09
3100,3.20655e+09
3110,3.2169e+09
3120,3.22724e+09
3130,3.23759e+09
3140,3.24793e+09
3150,3.14967e+09
3160,3.15967e+09
3170,3.16967e+09
3180,3.17967e+09
3190,3.18967e+09
3200,3.19967e+09
3210,3.20967e+09
3220,3.21967e+09
3230,3.22967e+09
3240,3.23967e+09
3250,3.24967e+09
3260,3.15452e+09
3270,3.16419e+09
3280,3.17387e+09
3290,3.18355e+09
3300,3.19323e+09
3310,3.2029e+09
3320,3.21258e+09
3330,3.22226e+09
3340,3.23194e+09
3350,3.24161e+09
3360,3.25129e+09
3370,3.15906e+09
3380,3.16844e+09
3390,3.17781e+09
3400,3.18719e+09
3410,3.19656e+09
3420,3.20594e+09
3430,3.21531e+09
3440,3.22469e+09
3450,3.13606e+09
3460,3.14515e+09
3470,3.15424e+09
3480,3.16333e+09
3490,3.07912e+09
3500,3.08794e+09
3510,3.09676e+09
3520,3.1997e+09
3530,3.20879e+09
3540,3.21788e+09
3550,3.22697e+09
3560,3.23606e+09
3570,3.24515e+09
3580,3.15853e+09
3590,3.16735e+09
3600,3.17618e+09
3610,3.185e+09
3620,3.19382e+09
3630,3.20265e+09
3640,3.11971e+09
3650,3.12829e+09
3660,3.13686e+09
3670,3.14543e+09
3680,3.154e+09
3690,3.16257e+09
3700,3.17114e+09
3710,3.17971e+09
3720,3.18829e+09
3730,3.19686e+09
3740,3.20543e+09
3750,3.214e+09
3760,3.22257e+09
3770,3.14139e+09
3780,3.23971e+09
3790,3.15806e+09
3800,3.16639e+09
3810,3.17472e+09
3820,3.18306e+09
3830,3.19139e+09
3840,3.19972e+09
3850,3.20806e+09
3860,3.21639e+09
3870,3.22472e+09
3880,3.23306e+09
3890,3.24139e+09
3900,3.16189e+09
3910,3.17e+09
3920,3.17811e+09
3930,3.18622e+09
3940,3.19432e+09
3950,3.20243e+09
3960,3.21054e+09
3970,3.21865e+09
3980,3.22676e+09
3990,3.14974e+09
4000,3.24297e+09
